Citation,PC,SCs
"Annie, F. H., Alkhaimy, H., Nanjundappa, A., & Elashery, A. (2022). Association Between Myocarditis and Mortality in COVID-19 Patients in a Large Registry. Mayo Clinic Proceedings: Innovations, Quality & Outcomes, 6(2), 114â€“119. https://doi.org/10.1016/j.mayocpiqo.2021.12.006",CRDEB,
"Bardes, J. M., Price, B. S., Adjeroh, D. A., Doretto, G., & Wilson, A. (2021). EMS SHOCK INDEX IS THE MOST ACCURATE PREDICTOR OF PATIENT OUTCOMES AFTER BLUNT TORSO TRAUMA. Journal of Trauma and Acute Care Surgery, Publish Ahead of Print. https://doi.org/10.1097/ta.0000000000003483","PD, CRDEB",
"Durr, A. J., Hathaway, Q. A., Kunovac, A., Taylor, A. D., Pinti, M. V., Rizwan, S., Shepherd, D. L., Cook, C. C., Fink, G. K., & Hollander, J. M. (2022). Manipulation of the miR-378a/mt-ATP6 regulatory axis rescues ATP synthase in the diabetic heart and offers a novel role for lncRNA Kcnq1ot1. American Journal of Physiology-Cell Physiology, 322(3), C482â€“C495. https://doi.org/10.1152/ajpcell.00446.2021",Pilot ,
"Dziadowicz, S. A., Wang, L., Akhter, H., Aesoph, D., Sharma, T., Adjeroh, D. A., Hazlehurst, L. A., & Hu, G. (2022). Bone Marrow Stroma-Induced Transcriptome and Regulome Signatures of Multiple Myeloma. Cancers, 14(4), 927. https://doi.org/10.3390/cancers14040927",ADMIN ,
"Garner, K. L., Bowdridge, E. C., Griffith, J. A., DeVallance, E., Seman, M. G., Engels, K. J., Groth, C. P., Goldsmith, W. T., Wix, K., Batchelor, T. P., & Nurkiewicz, T. R. (2022). Maternal Nanomaterial Inhalation Exposure: Critical Gestational Period in the Uterine Microcirculation is Angiotensin II Dependent. Cardiovascular Toxicology, 22(2), 167â€“180. https://doi.org/10.1007/s12012-021-09712-8",TECH,
"Levitt, E. B., Patch, D. A., Mabry, S., Terrero, A., Jaeger, B., Haendel, M. A., Chute, C. G., Quade, J. H., Ponce, B., Theiss, S., Spitler, C. A., & Johnson, J. P. (2022). Association Between COVID-19 and Mortality in Hip Fracture Surgery in the National COVID Cohort Collaborative (N3C): A Retrospective Cohort Study. JAAOS: Global Research and Reviews, 6(1). https://doi.org/10.5435/jaaosglobal-d-21-00282",CRDEB,
"Machnicki, A. L., White, C. A., Meadows, C. A., McCloud, D., Evans, S., Thomas, D., Hurley, J. D., Crow, D., Chirchir, H., & Serrat, M. A. (2022). Altered IGF-I activity and accelerated bone elongation in growth plates precede excess weight gain in a mouse model of juvenile obesity. Journal of Applied Physiology, 132(2), 511â€“526. https://doi.org/10.1152/japplphysiol.00431.2021",TECH,
"Martin, B., DeWitt, P. E., Russell, S., Anand, A., Bradwell, K. R., Bremer, C., Gabriel, D., Girvin, A. T., Hajagos, J. G., McMurry, J. A., Neumann, A. J., Pfaff, E. R., Walden, A., Wooldridge, J. T., Yoo, Y. J., Saltz, J., Gersing, K. R., Chute, C. G., Haendel, M. A., â€¦ Bennett, T. D. (2022). Characteristics, Outcomes, and Severity Risk Factors Associated With SARS-CoV-2 Infection Among Children in the US National COVID Cohort Collaborative. JAMA Network Open, 5(2), e2143151. https://doi.org/10.1001/jamanetworkopen.2021.43151",CRDEB,
"McCall, J. L., Varney, M. E., Rice, E., Dziadowicz, S. A., Hall, C., Blethen, K. E., Hu, G., Barnett, J. B., & Martinez, I. (2022). Prenatal Cadmium Exposure Alters Proliferation in Mouse CD4+ T Cells via LncRNA Snhg7. Frontiers in Immunology, 12. https://doi.org/10.3389/fimmu.2021.720635",TECH ,
"Wang, H., Paul, J., Ye, I., Blalock, J., Wiener, R. C., Ho, A. F., Alanis, N., & Sambamoorthi, U. (2022). Coronavirus disease 2019 pandemic associated with anxiety and depression among Non-Hispanic whites with chronic conditions in the US. Journal of Affective Disorders Reports, 8, 100331. https://doi.org/10.1016/j.jadr.2022.100331","ADMIN, CRDEB",
"Witrick, B., Kalbaugh, C. A., Shi, L., Mayo, R., & Hendricks, B. (2021). Geographic Disparities in Readmissions for Peripheral Artery Disease in South Carolina. International Journal of Environmental Research and Public Health, 19(1), 285. https://doi.org/10.3390/ijerph19010285","PD, CRDEB",
