Cores,Type,Title,PI,Direct,Indirect,Funding
CRDEB,Federal,"Maternal Outreach, TeleHealth, and Education for Rural Sites (MOTHERS) Project","Shrader, Carl",1844436,325489,2169925
PD,State,Routine testing of wastewater to identify communities of concern for COVID-19 pandemic response,"Smith, Gordon",17784.63,5780,23564.63
CRDEB,Industry,"Merkel Cell Carcinoma, Cutaneous Squamous Cell Carcinoma, or Other Advanced Solid Tumors: A Phase 1b/2 Study of Cavrotololimod Combined with Pembrolizumab or Cemiplimab","Kolodney, Joanna",35658,9271,44929
CRRF,Federal,Targeting BK Channel for Improved Cardiac Toxicity in TNBC Treatment,"Yu, Hangang",275000,143000,418000
Pilot,Federal,Driving under the influence among sexual minorities: a mixed methods study,"Rudisill, Toni",200000,104000,304000
PD,Federal,Adverse health effects of electronic cigarette exposure,"Gao, Weimin",2869813,621940,3491753
TECH,Other,Evaluation of COVID-19 Vaccines Produced by Serum Institute of India (SOW3),"Damron, Fredrick",601974,248026,850000
ADMIN,Other,ATTC Network HCV Initiative,"Winstanley, Erin",29163,2333,31496
ADMIN,Federal,Mountaineer Area Maternal Access Heart,"Varvoutis, Megan",1845096,575282,2420378
CRDEB,Federal,Disruptive methods for increased chemotherapy distribution into preclinical brain metastases of breast cancer leading to improved tumor kill and prolonged survival.,"Lockman, Paul",45520,0,45520
ADMIN,Federal,Cardiovascular dysfunctions linked to endothelial soluble epoxide hydrolase-related plasma oxylipins and mitoNEET,"Nayeem, Mohammed",1916443,996550,2912993
ADMIN,Other,"A Phase II Study of Abemaciclib in Combination With Letrozole in Advanced, Recurrent or Metastatic Endometroid Endometrial Cancer","Pfaendler, Krista",7280,2558,9838
CRRF,Other,mHealth Intervention to Promote Whole Health Among Adults with Multimorbidity,"Dwibedi, Nilanjana",288718,150134,438852
ADMIN,Other,Improving racial equity in opioid use disorder treatment in Medicaid,"Allen, Lindsay",150238,78124,228362
PD,Industry,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Multicenter Study of Bendamustine and Rituximab (BR) Alone Versus in Combination with Acalabrutinib (ACP-196) in Subjects with Previously Untreated Mantle Cell Lymphoma","Craig, Michael",53571,18822,72393
CRRF,Federal,"Risk and Resilience Pathways Linking Community Adversity, Decision Making, and Alcohol Misuse: A Prospective Study of Appalachian Adolescents.","Kristjansson, Alfgeir",437413,140327,577740
CRDEB,State,"West Virginia Bureau for Behavioral Health State Opioid Response Grant Prescriber/Provider Training, Education, and Development Implementation","Moran, Garrett",191250,8125,199375
CEO,State,Medicaid Opioid Use Disorder Treatment Outcomes and Recovery (MOTOR) Study: Phase 2,"Mahakalanda, Shyama",413744,134466,548210
CEO,Other,Sleep Well Live Well (SWELL) Pilot Project,"Sharma, Sunil",20000,0,20000
CRRF,State,"Children's In-Home and Community-Based Services Improvement Evaluation Project, Phase 2b","Hartley, Summer",1584469,376843,1961312
PD,Other,ACTIV-3b (TESICO) for Hospitalized Patients with ARDS Associated with COVID-19,"Hayanga, Jeremiah",0,0,0
CRRF,Federal,Driving Cutting Edge Clinical Trial Enrollment in Rural Populations: West Virginia's Mobile Clinical Trials Unit,"Hodder, Sally",350000,0,350000
