Cores,Type,Title,PI,Direct,Indirect,Funding
CRRF,Federal,A Combined Positron Emission Tomography/Electron Paramagnetic Resonance Imaging System (PET/EPRI),"Raylman, Raymond",422245,133948,556193
CRRF,other,"A Multicenter, Adaptive, Randomized Controlled Platform Trial of the Safety and Efficacy of Antithrombotic Strategies in Hospitalized Adults with COVID-19","Sharma, Sunil",7368,3832,11200
CRRF,Federal,A PET/CT Scanner for Guiding Treatment of Head and Neck Cancer,"Raylman, Raymond",390323,96136,486459
CRRF,Industry,"A Phase 3, Open-Label, Multicenter Study of Flurpiridaz (I&F) for Positron Emission Tomography (PET) Imaging for Assessment of Myocardial Perfusion in Patients Referred for Invasive Coronary Angiography Because of Suspected Coronary Artery Disease","Sengupta, Partho",26.98,7.02,34
"Admin, CRRF",Industry,"A Phase 3, Randomized, Active-Controlled, Double-blind Clinical Study to Evaluate the Efficacy and Safety of Oral Islatravir Once-Monthly as Preexposure Prophylaxis in Cisgender Women at High Risk for HIV-1 Infection","Hodder, Sally",7143,1857,9000
CRRF,Industry,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Multicenter Study of Bendamustine and Rituximab (BR) Alone Versus in Combination with Acalabrutinib (ACP-196) in Subjects with Previously Untreated Mantle Cell Lymphoma","Craig, Michael",706.5,183.69,890.19
CRRF,Industry,"A Phase III, Open-Label, Randomized Study of MPDL3280A (AntiPDL1 Antibody) Compared with Cisplation or Carboplatin Pemetrexed for PD-L1 Selected Chemotherapy Naive Patients with Stage IV Non-Squamous Non-Small Cell Lung Cancer","Soltani, Sanaz",2048,532,2580
CRRF,Industry,A Randomized Open-Label Phase III Study of Single Agent Pembrolizumab versus Single Agent Chemotherapy per Physician's Choice for Metastatic Triple Negative Breast Cancer (mTNBC) (KEYNOTE-119),"Craig, Michael",1635.4,425.2,2060.6
CRRF,Industry,A Randomized Phase 3 Comparison of IMO-2125 with Ipilimumab versus Ipilimumab Alone in Subjects with Anti-PD-1 Refractory Melanoma,"Kolodney, Joanna",3056.05,793.95,3850
CRRF,Industry,"A Randomized, Open-Label, Multi-Center Phase III Study of Durvalumab and Tremelimumab as First-Line Treatment in Patients with Unresectable Hepatocellular Carcinoma (HIMALAYA)","Pahuja, Shalu",3587,933,4520
CRDEB,industry,ALgorithm Using LINQ Sensors for EValuatIon And TreatmEnt of Heart Failure (ALLEVIATE-HF),"Sokos, George",10792,2806,13598
CRRF,other,Appalachian CTN Node,"Feinberg, Judith",159354,82864,242218
CEO,federal,Appalachian Training Program in Occupational Health and Safety,"Martin, Christopher",371289,28711,400000
PD,state,"Children's In-Home and Community-Based Services Improvement Evaluation Project, Phase 2b","Hartley, Summer",1584468,376843.92,1961311.92
PD,state,"Children's In-Home and Community-Based Services Improvement Evaluation Project, Phase IIa","Hartley, Summer",1061989.3,163971.74,1225961.04
CEO,federal,Connecting Behavioral Science to the COVID-19 Vaccine Demand (CBS-CVD) Network,"Jarrett, Traci",399503,100497,500000
CRRF,other,"CTN-0100: Optimizing Retention, Duration and Discontinuation Strategies for Opioid Use Disorder Pharmacotherapy (RDD)","Feinberg, Judith",563794,293173,856967
CEO,other,Enhancing and Expanding MAT in Southern Appalachian Communities,"Mason, Jay",90601,9060,99661
Admin,other,HER2+ breast cancer brain metastasis (BCBM) model in immunodeficient mice and human transferrin knock-in mice,"Lockman, Paul",97245,50567,147812
TECH,federal,Imaging Enzyme Activity by Overhauser-Enhanced MRI,"Driesschaert, Benoit",125000,65000,190000
CRRF,industry,Influence of Scaling and Root Planing with Minocycline Microspheres on the Composition and Functional Characteristics of Subgingival Microbiome Communities,"Schincaglia, Gian",327575,19042,346617
Admin,federal,JAK1 Signaling in Neuroinflammation,"Meares, Gordon",39583,0,39583
Admin,federal,Linking molecular nano-organization of spine synapses and structural plasticity using super-resolution imaging,"Hruska, Martin",125000,65000,190000
CEO,other,Mindful West Virginia School Personnel Evaluation,"Jarrett, Traci",9057,2943,12000
