Type,Category,Y9 Q1,Y9 Q2,Y9 Q3,Y9 Q4,Total,TARGET
Publications,CTR-Linked Publications,46 (8),24 (3),21 (1),24 (5),115 (17),375
Proposals,Proposals Submitted (#),48,69,67,74,258,250
Proposals,Subcategory: Proposals Submitted by ESIs,6,8,14,8,36,
Proposals,Subcategory: Proposals Submitted by Clinicians,16,32,45,15,108,
,,,,,,,
Awards,Proposals Funded (#),64,45,50,42,201,175
Awards,Subcategory: ESIs-Proposals Funded Totals,5,11,10,3,29,
Awards,Subcategory: ESIs-Proposals Funded Active,5,0,10,3,18,
Awards,Subcategory: ESIs-Proposals Funded New,1,3,5,1,10,
Awards,Subcategory: Clinician-Proposals Funded,44,34,32,10,120,
Awards,Subcategory: Clinician-Proposals Active,44,0,32,10,86,
Awards,Subcategory: Clinician-Proposals New,6,0,11,3,20,
,,,,,,,
Funding,Total External Funding Received ($),"17,034,441.54","6,601,808.25","8,232,861.82",10737376.43,"42,606,488.04",$50M
Funding,Subcategory: Federal,"14,781,669.00","3,954,498.00","2,907,269.00",373609,"22,017,045.00",
Funding,Subcategory: State,"497,394.00","1,985,795.00","2,751,878.96",154845.96,"5,389,913.92",
Funding,Subcategory: Industry,"860,136.00","325,250.00","605,618.29",28689.63,"1,819,693.92",
Funding,Subcategory: Other*,"895,242.00","337,266.00","1,968,095.57",829821.59,"4,030,425.16",
,,,,,,,
Patents,Disclosures Submitted: ,6,8,2,,16,15
Patents,Patent Applications,2,5,4,,11,10
Patents,Patents Awarded,1,0,0,,1,2
,,,,,,,
Membership,WVCTSI Membership,"2,837","3,079",3258,3520,3520,"3,400"
Membership,Non-Morgantown,819,972,1089,1234,1234,850
Membership,Community Membership,196,206,406,488,488,230
,,,,,,,
Services,Investigators accessing CTSI services or resources (unique # per quarter),244,189,273,232,938,750
