Cores,Type,Title,PI,Direct,Indirect,Funding
PILOT,Federal,Target-based Drug Discovery for Breast Cancer Treatment,"Agazie, Yehenew",1880233,977722,2857955
PILOT,Federal,Blocking Oncogene Overexpression in Breast Cancer,"Agazie, Yehenew",1428133,742629,2170762
ADMIN,Other,Pre-clinical evaluation of the biological role of CD38 in Glioblastoma,"Aulakh, Sonikpreet",300000,0,300000
PD,Federal,Guiding Prehospital Transport - Development of an AI Algorithm,"Bardes, James",757341,60455,817796
TECH,Federal,Towards a minimally invasive device for continuous glucose monitoring in blood,"Bobko, Andrey",285640,86840,372480
TECH,Federal,Solid-state paramagnetic probes for the oxygen imaging in mouse cancer model,"Bobko, Andrey",1265600,538907,1804507
ADMIN,Federal,Mechanisms of anti-tumor activity of group A Streptococcus in pancreatic adenocarcinoma,"Boone, Brian",275000,143000,418000
ADMIN,Industry,Biomimetic Solution for Quantifying Robotic Surgical Skill,"Boone, Brian",309979,161189,471168
ADMIN,Other,Peri-Operative Hydroxychloroquine + mFOLFIRINOX to Target Neutrophil Traps,"Boone, Brian",224999,25000,249999
"ADMIN, PD",Federal,West Virginia University Stroke CoBRE,"DeVries-Nelson, Anne",250000,130000,380000
PD,Industry,"A Phase 1b Open-Label, Dose-Escalating Study to Evaluate the Safety and Tolerability of PLG0206 in Patients Undergoing Debridement, Antibiotics, and Implant Retention (DAIR) for Treatment of a Periprosthetic Joint Infection (PJI) Occurring After TKA","Dietz, Matthew",427583,111172,538755
"PD, PILOT",Industry,Palacos MV+G,"Dietz, Matthew",80925,14281,95206
"PD, PILOT",Federal,Mitochondrial Dysfunction in Prosthetic Joint Infection,"Dietz, Matthew",100000,52000,152000
"ADMIN, TECH",Federal,Localized delivery of Granulocyte-Macrophage Colony-Stimulating Factor to alleviate tumor hypoxia and immunosuppression through macrophages,"Eubank, Timothy",135840,0,135840
"ADMIN, CEO, CRRF",Other,"CTN-0100: Optimizing Retention, Duration and Discontinuation Strategies for Opioid Use Disorder Pharmacotherapy (RDD) yr 3","Feinberg, Judith",626287,325669,951956
"ADMIN, CEO, CRRF",Other,Long-acting injectable PrEP vs daily oral PrEP in people who inject drugs: Preference and treatment effects,"Feinberg, Judith",125046,65025,190071
PD,Federal,Optimizing Drug Delivery To Treat Debilitating Chronic Pelvic Pain,"Geldenhuys, Werner",450000,233999,683999
CRRF,Industry,"SERENA-4: A Randomised, Multicentre, Double-Blind, Phase III Study of AZD9833 (an Oral SERD) plus Palbociclib versus Anastrozole plus Palbociclib for the Treatment of Patients with Estrogen Receptor-Positive, HER2-Negative Advanced Breast Cancer Who Have N","Hafez, Maria",222375.6,57817.68,280193.28
CRRF,Industry,A Study to Assess Overall Response Rate by Inducing an Inflammatory Phenotype in Metastatic Breast Cancer with the Oncolytic Reovirus Pelareorep in Combination with anti-PD-L1 Avelumab and Paclitaxel - BRACELET-1 Study,"Hafez, Maria",23810,6190,30000
CEO,State,State Opioid Response Center of Excellence for Addiction,"Haut, Marc",603774,196226,800000
ADMIN,Federal,Targeting Ero1-a for treatment of NSCLC,"Hazlehurst, Lori",2180158,982160,3162318
"ADMIN, CRRF, CRDEB, CEO",Other,RECOVER Initiative,"Hodder, Sally",12563675,0,12563675
PD,Other,"Psychological readiness, physical performance, and re-injury rates in Division I Collegiate Athletes with Acute Lower Extremity Injuries","Jochimsen, Kate",49960,0,49960
CRRF,Other,Eastern Cooperative Oncology Group (PSA WVA-01,"Kamran, Amir",0,0,0
CRRF,Industry,A Phase 2b Randomized Trial of Autologous Dendritic Cell Immunotherapy (CMN-001) Plus Standard Treatment of Advanced Renal Cell Carcinoma,"Kamran, Amir",625373.49,162597.11,787970.6
"CRDEB, ADMIN",State,Joint Interagency Task Force_Covid-19- Kimble,"Kimble, Wesley",537280,174616,711896
CRRF,Industry,Phase 1b: To determine the safety and tolerability of TAK-573 as SA in patients with locally advanced or metastatic solid tumors. Phase 2 Safety Lead-in: To determine the safety and tolerability of TAK-573 alone and in combination with pembrolizumab in un,"Kolodney, Joanna",243730,56402,300132
ADMIN,Federal,Improving immunotherapy response with radiation-mediated blood-tumor barrier disruption to enhance tumor kill and prolong survival in a preclinical model of brain metastases,"Lockman, Paul",516090,27476,543566
ADMIN,Federal,PERK Dependent Mechanisms of Neuroinflammation,"Meares, Gordon",2106981,1067550,3174531
ADMIN,Industry,"An Open-label Study to Assess the Pharmacodynamics, Pharmacokinetics, and Safety of a Single Intravenous Dose of Fremanezumab 900 mg in Adults with Status Migrainosus [Protocol TV48125-PK-10173]","Najib, Umer",5927.91,1719.09,7647
"ADMIN, PD, PILOT",Federal,Intergenerational consequences of maternal vaping on cerebral vascular structure and function,"Olfert, Ivan",1250000,650000,1900000
