Cores,Type,Title,PI,Direct,Indirect,Funding
ADMIN,Federal,Effects of Light at Night and Disrupted Circadian Rhythms on Pain,"Nelson, Randy",112500,58500,171000
ADMIN,Federal,Tumor Microenvironment-TME CoBRE,"Lockman, Paul",1116807,558406,1675213
"ADMIN, PD",Federal,West Virginia Stroke CoBRE,"DeVries-Nelson, Anne",108305,0,108305
ADMIN,Federal,Therapeutic modulation of tissue nonspecific alkaline phosphatase activity in acute inflammation and sepsis,"Brown, Candice",150000,78000,228000
CRRF,Other,A Study of PD-0332991 + Letrozole vs. Letrozole for 1st Line Treatment of Postmenopausal Women with ER+/HER2-Advanced Breast Cancer,"Kurian, Sobha",6151,1599,7750
CRRF,Industry,"Pivotal, Randomized, Open-Label Study of Tumor Treating Fields (TTFields, 150kHz) Concomitant With Gemcitabine and Nab-Paclitaxel for Front-Line Treatment of Locally-Advanced Pancreatic Adenocarcinoma","Kolodney, Joanna",2793.65,726.35,3520
CRRF,Industry,"Merkel Cell Carcinoma, Cutaneous Squamous Cell Carcinoma, or Other Advanced Solid Tumors: A Phase 1b/2 Study of Cavrotololimod Combined with Pembrolizumab or Cemiplimab","Kolodney, Joanna",10912.7,2837.3,13750
CRRF,Industry,Phase I/II Study of Lintuzumab-Ac225 in Older Patients with Untreated Acute Myeloid Leukemia,"Craig, Michael",13979,3634,17613
CRRF,Industry,"RRx-001 in Small, Non-Small Cell Lung Cancer, Ovarian Cancer and Neuroendocrine Tumors Prior to Re-administration of Platinum Based Doublet Regimens (QUADRUPLE THREAT)","Almubarak, Mohammed",3484,906,4390
CRRF,Industry,"Protocol STRO-001-BCM1, PhI Study of STRO-001 in Patients with Advanced B-Cell Malignancies.","Veltri, Lauren",4127,1073,5200
CRRF,Industry,"Phase III Lenalidomie/Rituxan Maintenance for Relapsed FL, Marginal Zone or MCL","Craig, Michael",270.63,70.37,341
CRRF,Industry,A Phase 1 Trial to Evaluate the Potential Impact of Renal Impairment on the Pharmacokinetics and Safety of CPX-351 (Daunorubicin and Cytarabine) Liposome for Injection Treatment in Adult Patients with Hematologic Malignancies,"Craig, Michael",5171,1345,6516
CRRF,Industry,A Study to Assess Overall Response Rate by Inducing an Inflammatory Phenotype in Metastatic Breast Cancer with the Oncolytic Reovirus Pelareorep in Combination with anti-PD-L1 Avelumab and Paclitaxel - BRACELET-1 Study,"Hafez, Maria",10446,2716,13162
CRDEB,Industry,Monitoring Heart Failure Grade using Short-wave Infrared Imaging Protocol Version 0,"Bianco, Christopher",1984.13,515.87,2500
CRRF,Industry,"A Phase III, Randomized, Double-Blind, Placebo Controlled, Multi-Center, International Study of Durvalumab Given Concurrently With Definitive Chemoradiation Therapy (cDRT) in Patients With Locally Advanced, Unresectable Esophageal Squamous Cell Carcinoma (","Abbas, Ghulam",10887,2831,13718
CRRF,Industry,"Randomized, Double-Blind, Placebo-Controlled Trial of Tomivosertib in Combination With Anti-PD-L1 Therapy in Subjects With Non-Small Cell Lung Cancer as First-Line Therapy or When Progressing on Single-Agent First-Line Anti-PD-L1 Therapy","Almubarak, Mohammed",19992,5198,25190
CRRF,Industry,"Phase III, Open Label Study to Evaluate the Safety and Efficacy of INSTILADRIN (rAd-IFN/SYN3) Administered Intravesically to Patients with High Grade, BCG Unresponsive Non-Muscle Invasice Bladder Cancer (NMIBC).","Luchey, Adam",-397,-103,-500
CRRF,Industry,"Ph2 Study of Durvalumab Alone or in Combo w/Novel Agents for Advanced, Unresectable Stage 3 NSCLC","Almubarak, Mohammed",2698,702,3400
CRRF,Industry,Adaptive Platform Treatment Trial for Outpatients with COVID-19,"Jenkins, Hannah",5707,1483.22,7190.22
CRRF,Industry,Phase 3 Chemo + Herceptin + Placebo/Pertuzumab as Adjuvant Therapy for Operable HER2 + Breast CA,"Pahuja, Shalu",3170.63,824.37,3995
CRRF,Industry,"EMERALD 1 PhIII, Randomized, Double-blind, Placebo-controlled, Multicenter Study of TACE in Combination with either Durvalumab Monotherapy or Durvalumab plus Bevacizumab Therapy in Locoregional Hepatocellular Ca","Pahuja, Shalu",2770,720,3490
ADMIN,Industry,preventive TReatment of mIgraine: oUtcoMes for Patients in real-world Healthcare systems (TRIUMPH),"Najib, Umer",7446.03,1935.97,9382
CRRF,Industry,CONNECT MDS/AML Disease Registry,"Craig, Michael",13690,3560,17250
CRRF,Industry,Phase II Oral Panobinostat with SubQ Bortezomib and Oral Dexametasone in Relapsed/Refractory MM,"Craig, Michael",1746.19,453.81,2200
CRRF,Industry,"A Multicenter, Longitudinal, Open-Label, Single-Arm Study Describing Cognitive Processing Speed Changes in Relapsing Multiple Sclerosis Subjects Treated With Ozanimod (RPC-1063).","Seachrist, Eric",-1667,-433,-2100
CRRF,Industry,"A Randomized Phase 3 Study of Nivolumab Plus Ipilimumab or Nivolumab Combined With Fluorouracil Plus Cisplatin Versus Fluorouracil Plus Cisplatin in Subjects With Unresectable Advanced, Recurrent or Metastatic Previously Untreated Esophageal Squamous Cell","Abbas, Ghulam",8049.89,2092.97,10142.86
CRRF,Industry,Ph 1B Evaluating RO7082859 in Combo with Rituximab or Obinutuzum for Relapsed Non-Hodgkin Lymphoma,"Veltri, Lauren",7421.71,1929.65,9351.36
"ADMIN, CRRF",Industry,ON-TRK: PrOspective Non-interventional study in patients with locally advanced or metastatic TRK fusion cancer treated with larotrectinib,"Aulakh, Sonikpreet",993.02,258.18,1251.2
CRRF,Industry,"A Phase II, Randomized, Double-Blind, Placebo-Controlled, Multi-Center Study of the Safety and Efficacy of PRO 140 for Prophylaxis of Acute Graft-Versus-Host Disease in Patients with AML or MDS Undergoing Allogeneic Stem-Cell Transplantation.","Ross, Kelly",6308.57,1640.23,7948.8
