Type,Category,Y9 Q1,Y9 Q2,Y9 Q3,Y9 Q4,Total,TARGET
Publications,CTR-Linked Publications,46 (8),24 (3),,,70 (11),375
Proposals,Proposals Submitted (#),48,69,,,117,250
Proposals,Subcategory: Proposals Submitted by ESIs,6,8,,,14,
Proposals,Subcategory: Proposals Submitted by Clinicians,16,32,,,48,
,,,,,,,
Awards,Proposals Funded (#),64,45,,,109,175
Awards,Subcategory: ESIs-Proposals Funded Totals,5,11,,,16,
Awards,Subcategory: ESIs-Proposals Funded Active,5,0,,,5,
Awards,Subcategory: ESIs-Proposals Funded New,1,3,,,4,
Awards,Subcategory: Clinician-Proposals Funded,44,34,,,78,
Awards,Subcategory: Clinician-Proposals Active,44,0,,,44,
Awards,Subcategory: Clinician-Proposals New,6,0,,,6,
,,,,,,,
Funding,Total External Funding Received ($),"$17,034,441.54 ","$6,601,808.25 ",,,"$23,636,249.79 ",$50M
Funding,Subcategory: Federal,"$14,781,669.00 ","$3,954,498.00 ",,,"$18,736,167.00 ",
Funding,Subcategory: State,"$497,394.00 ","$1,985,795.00 ",,,"$2,483,189.00 ",
Funding,Subcategory: Industry,"$860,136 ","$325,250.00 ",,,"$1,185,386.00 ",
Funding,Subcategory: Other*,"$895,242.00 ","$337,266.00 ",,,"$1,232,508 ",
,,,,,,,
Patents,Disclosures Submitted: ,6,8,,,14,15
Patents,Patent Applications,2,5,,,7,10
Patents,Patents Awarded,1,0,,,1,2
,,,,,,,
Membership,WVCTSI Membership,"2,837","3,437",,,"3,437","3,400"
Membership,Non-Morgantown,819,972,,,972,850
Membership,Community Membership,196,206,,,206,230
,,,,,,,
Services,Investigators accessing CTSI services or resources (unique # per quarter),244,189,,,433,750
Services,Subcategory: ESIs accessing CTSI services or resources (#),0,0,,,0,
