Cores,Type,Title,PI,Direct,Indirect,Funding
CRRF,Industry,Adaptive Platform Treatment Trial for Outpatients with COVID-19,"Jenkins, Hannah",9095,2365,11460
"ADMIN, PD, TECH",Other,Consequences of maternal vaping on cerebrovascular health in offspring,"Olfert, Ivan",64072,0,64072
"CRDEB, PD",Federal,Identifying COVID-19 vaccine deserts using Machine Learning and Geospatial Analyses to target Community -engaged testing for vulnerable rural populations to prevent localized outbreaks,"Hendricks, Brian",1418060,737391,2155451
PD,Other,"A PHASE II, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTER STUDY TO EVALUATE THE SAFETY AND EFFICACY OF BALOVAPTAN IN PATIENTS WITH ACUTE ISCHEMIC STROKE AT HIGH RISK OF DEVELOPING MALIGNANT CEREBRAL EDEMA","Adcock, Amelia",11420,4796,16216
CRRF,Other,An eHealth problem solving intervention to improve quality of life in underserved pediatric brain tumor survivors,"Radonovich, Krestin",499627,259807,759434
PD,Federal,Feasibility of Focused Ultrasound as a Novel Treatment for Substance Use Disorder,"Mahoney, James",4351724,818498,5170222
PILOT,Federal,Developing Targeted Therapies for Triple-Negative Breast Cancer,"Agazie, Yehenew",2073271,1078100,3151371
ADMIN,Other,Assessing the Impact of Opioid Prescription Duration Limits,"Pollini, Robin",30033,15617,45650
CEO,Federal,WV Community Healthcare Authority,Jay Mason,30187,9811,39998
"ADMIN, CRRF",State,Immune Responses to SARS CoV-2 vaccine among staff and residents of assisted living and nursing home facilities in West Virginia,"Hodder, Sally",1702500,553313,2255813
ADMIN,Federal,Pericyte-Endothelial Interactions Impair Vascular Function and Ischemic Stroke Outcomes Following Traumatic Brain Injury,"Weil, Zachary",199035,0,199035
ADMIN,Federal,The Role of Neutrophil Extracellular Traps in Pancreatic Adenocarcinoma Treatment Failure,"Boone, Brian",161082,0,161082
ADMIN,Federal,Exploiting Radiotherapy-Induced Vascular Permeability to Increase Chemotherapy Distribution into Central Nervous System Tumors,"Lockman, Paul",2003312,1041722,3045034
ADMIN,Federal,Impeding drug/radiotherapy resistance through targeted therapy in brain metastases of lung cancer,"Lockman, Paul",1634476,849928,2484404
PILOT,Federal,Deciphering Mechanisms to Block HER2 Gene Amplification and Protein Overexpression in Breast Cancer,"Agazie, Yehenew",1704262,886215,2590477
PD,Federal,Coaching End-of-Life Palliative Care for End-Stage Heart Failure Patients and Their Family Caregivers in Rural Appalachia,"Piamjariyakul, Ubolrat",300000,150000,450000
CRRF,Industry,"A Phase 3, Multicenter, Randomized, Open-Label, Active-Controlled Study of Trastuzumab Deruxtecan (T-DXd) versus Trastuzumab Emtansine (T-DM1) in Subjects with High-Risk HER2-Positive Primary Breast Cancer Who Have Residual Invasive Disease in Breast or Ax","Kurian, Sobha",42004,10921,52925
CRDEB,Other,Drug Free Moms and Babies,"Lilly, Christa",33500,0,33500
ADMIN,Other,Firearm Behavioral Practices and Suicide Risk in U.S. Army soldiers and Veterans,"Bossarte, Robert",45633,23730,69363
PD,Industry,Development of NL-1 in Stroke,"Geldenhuys, Werner",524666,272826,797492
CEO,Other,When all are counted: Bridging the health surveillance gap in West Virginia,"Jarrett, Traci",83334,16666,100000
CRRF,Industry,"X-396-CLI-101 Phase I/II, First-in-Human, Dose-Escalation Study of X-396 in Patients with Advanced Solid Tumors and Expansion Phase in Patients with ALK+ Non-Small Cell Lung Cancer","Schnatterly, Anne",16116,4190,20306
CEO,Other,Innovative mHealth Technology (mWELL) for Bridging the Continuity of Care Gap Among OUD Recoverees,"Jarrett, Traci",89091,8909,98000
"CRDEB, CRRF",Other,Pathways Project Phase II,"Moss, Alvin",19650,2456,22106
CRRF,Industry,"A Randomized, Phase 3, Open-label Study to Investigate the Pharmacokinetics and Safety of Subcutaneous Pembrolizumab versus Intravenous Pembrolizumab, Administered with Platinum Doublet Chemotherapy, in the First-Line Treatment of Participants with Metasta","Almubarak, Mohammed",161840,42078,203918
ADMIN,Other,Overcoming Pancreatic Adenocarcinoma Immunotherapy Resistance via Dual Inhibition of Neutrophil Extracellular Traps (NET) and Programmed Cell Death Protein 1 (PD1),"Boone, Brian",20000,0,20000
"ADMIN, CRRF",Other,Integrating Addiction and Infectious Diseases Services into Primary Care in Rural Settings,"Feinberg, Judith",298110,155017,453127
PD,Other,A contact intervention addressing MOUD-related stigma amongst MOUD non-adopter primary care clinics in West Virginia,"Haggerty, Treah",545441,54546,599987
CRRF,Industry,VALIDATE,"Galster, Scott",16459,8558,25017
PD,Industry,BESPOKE Study of ctDNA Guided Therapy in Colorectal Cancer,"Malla, Midhun",3610.48,938.72,4549.2
ADMIN,Other,Validation of biomarkers in high risk individuals for the early detection of pancreatic cancer,"Boone, Brian",14998,7798,22796
