Citation,PC,SCs
"Ahmad, R.S., Eubank, T.D., Lukomski, S. & Boone, B.A. (2021). Immune Cell Modulation of the Extracellular Matrix Contributes to the Pathogenesis of Pancreatic Cancer., Biomolecules, 11(6), NA. doi: 10.3390/biom11060901",ADMIN,
"Bennett, T.D., Moffitt, R.A., Hajagos, J.G., Amor, B., Anand, A., Bissell, M.M., Bradwell, K.R., Bremer, C., Byrd, J.B., Denham, A., DeWitt, P.E., Gabriel, D., Garibaldi, B.T., Girvin, A.T., Guinney, J., Hill, E.L., Hong, S.S., Jimenez, H., Kavuluru, R., Kostka, K., Lehmann, H.P., Levitt, E., Mallipattu, S.K., Manna, A., McMurry, J.A., Morris, M., Muschelli, J., Neumann, A.J., Palchuk, M.B., Pfaff, E.R., Qian, Z., Qureshi, N., Russell, S., Spratt, H., Walden, A., Williams, A.E., Wooldridge, J.T., Yoo, Y.J., Zhang, X.T., Zhu, R.L., Austin, C.P., Saltz, J.H., Gersing, K.R., Haendel, M.A., Chute & C.G.,   (2021). Clinical Characterization and Prediction of Clinical Severity of SARS-CoV-2 Infection Among US Adults Using Data From the US National COVID Cohort Collaborative., JAMA network open, 4(7), e2116901. doi: 10.1001/jamanetworkopen.2021.16901",CRDEB,
"Bumgarner, J.R., Walker, W.H. & Nelson, R.J. (2021). Circadian rhythms and pain., Neuroscience and biobehavioral reviews, 129(NA), 296-306. doi: 10.1016/j.neubiorev.2021.08.004",ADMIN,
"Coleman, K.C., Hudnall, A., Grabo, D.J., Pillai, L., Borgstrom, D.C., Wilson, A. & Bardes, J.M. (2021). Penetrating trauma to the neck: Using your vascular toolkit., The journal of trauma and acute care surgery, 91(2), e51-e54. doi: 10.1097/TA.0000000000003159",PD,
"Cooper, S.Y., Akers, A.T., Journigan, V.B. & Henderson, B.J. (2021). Novel Putative Positive Modulators of α4β2 nAChRs Potentiate Nicotine Reward-Related Behavior., Molecules (Basel, Switzerland), 26(16), NA. doi: 10.3390/molecules26164793",PD,MU
"Cunningham, J.G., Scripter, J.D., Nti, S.A. & Tucker, E.S. (2021). Early construction of the thalamocortical axon pathway requires c-Jun N-terminal kinase signaling within the ventral forebrain., Developmental dynamics : an official publication of the American Association of Anatomists, NA(NA), NA. doi: 10.1002/dvdy.416",TECH,
"Elzamzamy, O.M., Johnson, B.E., Chen, W.C., Hu, G., Penner, R. & Hazlehurst, L.A. (2021). Transient Receptor Potential C 1/4/5 Is a Determinant of MTI-101 Induced Calcium Influx and Cell Death in Multiple Myeloma., Cells, 10(6), NA. doi: 10.3390/cells10061490","PD, ADMIN",
"Geldenhuys, W.J., Piktel, D., Moore, J.C., Rellick, S.L., Meadows, E., Pinti, M.V., Hollander, J.M., Ammer, A.G., Martin, K.H. & Gibson, L.F. (2021). Loss of the redox mitochondrial protein mitoNEET leads to mitochondrial dysfunction in B-cell acute lymphoblastic leukemia., Free radical biology & medicine, 175(NA), 226-235. doi: 10.1016/j.freeradbiomed.2021.09.003","PD, TECH",
"Giacobbi, P., Symons Downs, D., Haggerty, T., Pidhorskyi, S., Long, D.L., Clemmer, M., Steinman, S.A., Olfert, M.D., Kinnamon, K., Rao, N., Staggs, H. & Adjeroh, D. (2021). Feasibility and Acceptability of Guided Imagery to Sequentially Address Multiple Health Behaviors During Pregnancy., Journal of midwifery & women's health, 66(5), 664-670. doi: 10.1111/jmwh.13251","PD, CEO",
"Huffman, J.L., Poncelet, M., Moore, W., Eaton, S.S., Eaton, G.R. & Driesschaert, B. (2021). Perchlorinated Triarylmethyl Radical 99% Enriched 13C at the Central Carbon as EPR Spin Probe Highly Sensitive to Molecular Tumbling., The journal of physical chemistry. B, 125(27), 7380-7387. doi: 10.1021/acs.jpcb.1c03778",TECH,
"Jones, C.A. & Hazlehurst, L.A. (2021). Role of Calcium Homeostasis in Modulating EMT in Cancer., Biomedicines, 9(9), NA. doi: 10.3390/biomedicines9091200",ADMIN,
"Krafft, M.R., Lorenze, A., Croglio, M.P., Fang, W., Baron, T.H. & Nasr, J.Y. (2021). ""Innocent as a LAMS"": Does Spontaneous Fistula Closure (Secondary Intention), After EUS-Directed Transgastric ERCP (EDGE) via 20-mm Lumen-Apposing Metal Stent, Confer an Increased Risk of Persistent Fistula and Unintentional Weight Gain?, Digestive diseases and sciences, NA(NA), NA. doi: 10.1007/s10620-021-07003-4",CRDEB,
"Kum, V., Bell, A., Fang, W. & VanWert, E. (2021). Efficacy of topical capsaicin for cannabinoid hyperemesis syndrome in a pediatric and adult emergency department., The American journal of emergency medicine, 49(NA), 343-351. doi: 10.1016/j.ajem.2021.06.049",CRDEB,
"Majumder, N., Goldsmith, W.T., Kodali, V.K., Velayutham, M., Friend, S.A., Khramtsov, V.V., Nurkiewicz, T.R., Erdely, A., Zeidler-Erdely, P.C., Castranova, V., Harkema, J.R., Kelley, E.E. & Hussain, S. (2021). Oxidant-induced epithelial alarmin pathway mediates lung inflammation and functional decline following ultrafine carbon and ozone inhalation co-exposure., Redox biology, 46(NA), 102092. doi: 10.1016/j.redox.2021.102092",TECH,
"Mason, J.D., Dino, G., Boyd, J., Crist, A., Whanger, S.L., Edinger, K. & Hodder, S. (2021). Amplifying Expertise in Rural West Virginia through Project ECHO: Impactful Partnerships and Community-Engagement., Progress in community health partnerships : research, education, and action, 15(2), 235-242. doi: 10.1353/cpr.2021.0025","CEO, ADMIN",
"Mazur, A., Bills, E.H., DeSchepper, K.M., Williamson, J.C., Henderson, B.J. & Risher, W.C. (2021). Astrocyte-Derived Thrombospondin Induces Cortical Synaptogenesis in a Sex-Specific Manner., eNeuro, 8(4), NA. doi: 10.1523/ENEURO.0014-21.2021","Pilot, TECH",MU
"Meléndez-Fernández, O.H., Walton, J.C., DeVries, A.C. & Nelson, R.J. (2021). Clocks, Rhythms, Sex, and Hearts: How Disrupted Circadian Rhythms, Time-of-Day, and Sex Influence Cardiovascular Health., Biomolecules, 11(6), NA. doi: 10.3390/biom11060883","PD, ADMIN",
"Naqvi, S.F., Lakhani, D.A., Sohail, A.H., Maurer, J., Sofka, S., Sarwari, A. & Hadi, Y.B. (2021). Patients with idiopathic pulmonary fibrosis have poor clinical outcomes with COVID-19 disease: a propensity matched multicentre research network analysis., BMJ open respiratory research, 8(1), NA. doi: 10.1136/bmjresp-2021-000969",CRDEB,
"Ozga-Hess, J.E., Romm, K.F., Felicione, N.J., Dino, G., Blank, M.D. & Turiano, N.A. (2021). Personality and impulsivity as predictors of tobacco use among emerging adults: A latent class analysis., Personality and individual differences, 163(NA), NA. doi: 10.1016/j.paid.2020.110076","CEO, Pilot",
"Piamjariyakul, U., Smothers, A., Young, S., Morrissey, E., Petitte, T., Wen, S., Zulfikar, R., Sangani, R., Shafique, S., Smith, C.E. & Bosak, K. (2021). Verifying intervention fidelity procedures for a palliative home care intervention with pilot study results., Research in nursing & health, 44(5), 854-863. doi: 10.1002/nur.22166",CRDEB,
"Rellick, S.L., Hu, G., Piktel, D., Martin, K.H., Geldenhuys, W.J., Nair, R.R. & Gibson, L.F. (2021). Co-culture model of B-cell acute lymphoblastic leukemia recapitulates a transcription signature of chemotherapy-refractory minimal residual disease., Scientific reports, 11(1), 15840. doi: 10.1038/s41598-021-95039-x","ADMIN, TECH",
"Rudisill & T.M. (2021). The association between a statewide stay-at-home order and motor vehicle injury rates among population sub-groups in West Virginia., Traffic injury prevention, 22(7), 501-506. doi: 10.1080/15389588.2021.1960320",PD,
"Rudisill & T.M. (2021). The development and reliability of a national survey of police officers regarding the enforceability of cell phone use while driving laws., Transportation research interdisciplinary perspectives, 6(NA), NA. doi: 10.1016/j.trip.2020.100140",PD,
"Rudisill, T.M. & Zhu, M. (2021). Challenges of enforcing cellphone use while driving laws among police in the USA: a cross-sectional analysis., BMJ open, 11(6), e049053. doi: 10.1136/bmjopen-2021-049053",PD,
"Szeligo, B.M., Ivey, A.D. & Boone, B.A. (2021). Poor Response to Checkpoint Immunotherapy in Uveal Melanoma Highlights the Persistent Need for Innovative Regional Therapy Approaches to Manage Liver Metastases., Cancers, 13(14), NA. doi: 10.3390/cancers13143426",ADMIN,
"Thomas, A.B., Olesh, E.V., Adcock, A. & Gritsenko, V. (2021). Muscle torques and joint accelerations provide more sensitive measures of poststroke movement deficits than joint angles., Journal of neurophysiology, 126(2), 591-606. doi: 10.1152/jn.00149.2021","PD, Pilot",
"Vance, J.K., Rawson, T.W., Povroznik, J.M., Brundage, K.M. & Robinson, C.M. (2021). Myeloid-Derived Suppressor Cells Gain Suppressive Function during Neonatal Bacterial Sepsis., International journal of molecular sciences, 22(13), NA. doi: 10.3390/ijms22137047",ADMIN,
"Whately, K.M., Voronkova, M.A., Maskey, A., Gandhi, J., Loskutov, J., Choi, H., Yanardag, S., Chen, D., Wen, S., Margaryan, N.V., Smolkin, M.B., Purazo, M.L., Hu, G. & Pugacheva, E.N. (2021). Nuclear Aurora-A kinase-induced hypoxia signaling drives early dissemination and metastasis in breast cancer: implications for detection of metastatic tumors., Oncogene, 40(37), 5651-5664. doi: 10.1038/s41388-021-01969-1","Pilot, CRDEB",
"Wiener & R.C. (2021). Unhealthy Opioid Use and COVID-19 Mortality Incidence in Older Adults: A Multicenter Research Network Study., Substance use & misuse, 56(13), 2044-2048. doi: 10.1080/10826084.2021.1967988","ADMIN, CRDEB",
"Wiener, R.C., Findley, P.A., Shen, C., Dwibedi, N. & Sambamoorthi, U. (2021). Acculturation and dental sealant use among US children., Community dentistry and oral epidemiology, NA(NA), NA. doi: 10.1111/cdoe.12678","ADMIN, CRDEB, PD",
"Zheng, M., Mao, K., Fang, D., Li, D., Lyu, J., Peng, D., Chen, X., Cannon, N., Hu, G., Han, J., Zhao, K., Chen, W. & Zhu, J. (2021). B cell residency but not T cell-independent IgA switching in the gut requires innate lymphoid cells., Proceedings of the National Academy of Sciences of the United States of America, 118(27), NA. doi: 10.1073/pnas.2106754118","CRDEB, TECH",
